待ち牌のロス数,手牌,ロスの内訳
6,1111235677,2s3枚 3s3枚
6,1111236678,2s3枚 3s3枚
6,1111236789,2s3枚 3s3枚
6,1112224566,1s1枚 2s1枚 9s4枚
6,1112225567,1s1枚 2s1枚 9s4枚
6,1112225677,1s1枚 2s1枚 3s4枚
6,1112226678,1s1枚 2s1枚 3s4枚
6,1112226789,1s1枚 2s1枚 3s4枚
6,1112344678,7s3枚 8s3枚
6,1112345677,2s3枚 3s3枚
6,1112345789,8s3枚 9s3枚
6,1112346678,2s3枚 3s3枚
6,1112346789,2s3枚 3s3枚
6,1113335677,1s1枚 2s4枚 3s1枚
6,1113336678,1s1枚 2s4枚 3s1枚
6,1113336789,1s1枚 2s4枚 3s1枚
6,1113345678,7s3枚 8s3枚
6,1113455888,1s1枚 8s1枚 9s4枚
6,1113455999,1s1枚 8s4枚 9s1枚
6,1114456888,1s1枚 8s1枚 9s4枚
6,1114456999,1s1枚 8s4枚 9s1枚
6,1114566999,1s1枚 2s4枚 9s1枚
6,1115567999,1s1枚 2s4枚 9s1枚
6,1122233346,2s1枚 3s1枚 9s4枚
6,1122333457,1s2枚 3s1枚 4s3枚
6,1122334678,7s3枚 8s3枚
6,1122335677,1s2枚 2s2枚 3s2枚
6,1122336678,1s2枚 2s2枚 3s2枚
6,1122336789,1s2枚 2s2枚 3s2枚
6,1222234678,7s3枚 8s3枚
6,1222235677,1s3枚 3s3枚
6,1222236678,1s3枚 3s3枚
6,1222236789,1s3枚 3s3枚
6,1222333446,2s1枚 3s1枚 9s4枚
6,1223334457,1s3枚 3s1枚 4s2枚
6,1223344566,2s2枚 9s4枚
6,1223344678,7s3枚 8s3枚
6,1223345789,8s3枚 9s3枚
6,1233334678,7s3枚 8s3枚
6,1233335677,1s3枚 2s3枚
6,1233335678,1s3枚 2s3枚
6,1233336678,1s3枚 2s3枚
6,1233336789,1s3枚 2s3枚
6,1233344557,1s3枚 3s1枚 4s2枚
6,1233345678,7s3枚 8s3枚
6,1233445678,7s3枚 8s3枚
6,1234444678,7s3枚 8s3枚
6,1234445678,1s3枚 2s3枚
6,1234456789,8s3枚 9s3枚
6,1234555678,7s3枚 8s3枚
6,1234556678,1s3枚 2s3枚
6,1234566678,1s3枚 2s3枚
